livsmk;htypek;gtypek;grunntype
5;T32;T32-C-9;T32-C-09 kalkrik fukteng med mindre hevdpreg
5;T32;T32-C-10;T32-C-10 kalkrik fukteng med klart hevdpreg og svakt preg av gjødsling
5;T32;T32-C-11;T32-C-11 kalkfattig tørreng med mindre hevdpreg
5;T32;T32-C-12;T32-C-12 kalkfattig tørreng med klart hevdpreg
5;T32;T32-C-13;T32-C-13 intermediær tørreng med mindre hevdpreg
5;T32;T32-C-14;T32-C-14 intermediær tørreng med klart hevdpreg eller svakt preg av gjødsling
5;T32;T32-C-15;T32-C-15 svakt kalkrik tørreng med mindre hevdpreg
5;T32;T32-C-16;T32-C-16 svakt kalkrik tørreng med klart hevdpreg eller svakt preg av gjødsling
5;T32;T32-C-17;T32-C-17 sterkt kalkrik tørreng med mindre hevdpreg
5;T32;T32-C-18;T32-C-18 sterkt kalkrik tørreng med klart hevdpreg
5;T32;T32-C-19;T32-C-19 sanddyne-eng med klart hevdpreg eller svakt preg av gjødsling
5;T32;T32-C-20;T32-C-20 svakt kalkrik eng med klart hevdpreg
5;T32;T32-C-21;T32-C-21 svakt kalkrik eng med svakt preg av gjødsling
5;V2;V2-C-1;V2-C-1 kalkfattige og svakt intermediære myr- og sumpskogsmarker
5;V2;V2-C-2;V2-C-2 sterkt intermediære litt kalkrike myr- og sumpskog-marker
5;V2;V2-C-3;V2-C-3 temmelig til ekstremt kalkrike myr- og sumpskogsmarker
5;V4;V4-C-1;V4-C-1 litt kalkfattig og svakt intermediær svakkilde
5;V4;V4-C-2;V4-C-2 sterkt intermediære og litt kalkrike kilder
5;V4;V4-C-3;V4-C-3 temmelig til ekstremt kalkrike kilder
5;V4;V4-C-4;V4-C-4 sterkt intermediære og litt kalkrike torvmarkskilder
5;V4;V4-C-5;V4-C-5 temmelig til ekstremt kalkrike torvmarkskilder
5;V8;V8-C-1;V8-C-1 kalkfattig og intermediær strand- og sumpskogsmark
5;V8;V8-C-2;V8-C-2 kalkrik strand- og sumpskogsmark
5;V8;V8-C-3;V8-C-3 saltpåvirket strand- og sumpskogsmark
6;T4;T4-C-1;T4-C-01 blåbærskog
6;T4;T4-C-2;T4-C-02 svak lågurtskog
6;T4;T4-C-3;T4-C-03 lågurtskog
6;T4;T4-C-4;T4-C-04 kalklågurtskog
6;T4;T4-C-5;T4-C-05 bærlyngskog
6;T4;T4-C-6;T4-C-06 svak bærlyng-lågurtskog
6;T4;T4-C-7;T4-C-07 bærlyng-lågurtskog
6;T4;T4-C-8;T4-C-08 bærlyng-kalklågurtskog
6;T4;T4-C-9;T4-C-09 lyngskog
